Z  z1         4.0        4.1        4.2        4.3        4.4        4.5        4.6        4.7        4.8        4.9        5.0        5.1        5.2        5.3        5.4        5.5        5.6        5.7        5.8        5.9        6.0        6.1        6.2        6.3        6.4        6.5        6.6        6.7        6.8        6.9        7.0        7.1        7.2        7.3        7.4        7.5        7.6        7.7        7.8        7.9        8.0        8.1        8.2        8.3        8.4        8.5        8.6        8.7        8.8        8.9        9.0
 1  0 -23.186603 -22.436093 -21.609510 -20.926395 -20.379143 -19.943664 -19.591238 -19.306539 -19.078352 -18.893408 -18.745596 -18.627380 -18.532767 -18.457519 -18.398404 -18.353626 -18.319638 -18.292758 -18.273301 -18.260655 -18.251401 -18.247488 -18.248572 -18.251276 -18.258083 -18.268417 -18.279558 -18.294368 -18.311845 -18.329715 -18.350920 -18.374098 -18.397458 -18.423566 -18.450955 -18.478416 -18.508073 -18.538517 -18.568979 -18.601238 -18.633970 -18.666699 -18.700946 -18.735468 -18.769979 -18.805803 -18.841770 -18.877726 -18.914837 -18.952001 -18.989153
 1  1 -23.537226 -22.472555 -21.613805 -20.927124 -20.379309 -19.943713 -19.591256 -19.306546 -19.078355 -18.893410 -18.745596 -18.627380 -18.532767 -18.457519 -18.398404 -18.353626 -18.319638 -18.292758 -18.273301 -18.260655 -18.251401 -18.247488 -18.248572 -18.251276 -18.258083 -18.268417 -18.279558 -18.294368 -18.311845 -18.329715 -18.350920 -18.374098 -18.397458 -18.423566 -18.450955 -18.478416 -18.508073 -18.538517 -18.568979 -18.601238 -18.633970 -18.666699 -18.700946 -18.735468 -18.769979 -18.805803 -18.841770 -18.877726 -18.914837 -18.952001 -18.989153
 2  0 -22.065899 -22.140073 -22.212890 -22.265375 -22.142942 -21.500040 -20.893731 -20.389433 -19.985755 -19.663308 -19.404289 -19.195133 -19.025283 -18.888101 -18.776906 -18.685548 -18.611111 -18.550921 -18.503166 -18.465663 -18.437329 -18.415205 -18.399422 -18.388968 -18.383065 -18.380664 -18.382490 -18.387792 -18.394960 -18.406211 -18.419271 -18.433591 -18.451568 -18.470098 -18.490172 -18.512464 -18.534565 -18.557979 -18.581378 -18.603061 -18.624455 -18.643123 -18.659221 -18.674704 -18.689895 -18.707316 -18.728413 -18.752965 -18.781361 -18.812524 -18.845521
 2  1 -28.572750 -26.516677 -24.880094 -23.576692 -22.536662 -21.552326 -20.905345 -20.396744 -19.999122 -19.691110 -19.456229 -19.281605 -19.156605 -19.071717 -19.018054 -18.987495 -18.973129 -18.969575 -18.972994 -18.980853 -18.991603 -19.004357 -19.018649 -19.034254 -19.051074 -19.069073 -19.088233 -19.108530 -19.129922 -19.152336 -19.175658 -19.199713 -19.224234 -19.248816 -19.272847 -19.295407 -19.315157 -19.330243 -19.338334 -19.336987 -19.324513 -19.301246 -19.270520 -19.238319 -19.211350 -19.194630 -19.190190 -19.197398 -19.214165 -19.238079 -19.267038
 2  2 -23.107553 -23.158576 -23.209107 -23.258304 -23.306288 -23.327369 -23.029027 -22.214298 -21.419732 -20.774555 -20.260848 -19.854014 -19.531162 -19.279058 -19.081305 -18.924448 -18.801562 -18.705911 -18.632403 -18.575865 -18.533733 -18.500664 -18.476659 -18.459892 -18.448997 -18.442557 -18.441362 -18.444359 -18.449494 -18.459475 -18.471481 -18.484864 -18.502525 -18.520811 -18.541009 -18.564085 -18.587449 -18.613266 -18.640526 -18.667906 -18.697927 -18.728261 -18.759034 -18.791630 -18.824234 -18.857639 -18.892000 -18.926348 -18.961734 -18.997500 -19.033237
 6  0 -19.746556 -19.809348 -19.852134 -19.793332 -19.534456 -19.165854 -18.814433 -18.518908 -18.278345 -18.085160 -17.930418 -17.805820 -17.705726 -17.625111 -17.560437 -17.509277 -17.469132 -17.438695 -17.417433 -17.402931 -17.393195 -17.389083 -17.387926 -17.388847 -17.393654 -17.400119 -17.408210 -17.417566 -17.430534 -17.444697 -17.460215 -17.478516 -17.498109 -17.518761 -17.542025 -17.566385 -17.594273 -17.622174 -17.651751 -17.681388 -17.711156 -17.741552 -17.772433 -17.803543 -17.834790 -17.866551 -17.898517 -17.930694 -17.961439 -17.992196 -18.022973
 6  1 -23.117665 -22.715555 -21.882967 -21.227507 -20.700646 -20.284899 -19.956741 -19.696529 -19.478046 -19.298447 -19.147403 -19.015529 -18.900524 -18.799033 -18.714532 -18.640688 -18.575933 -18.519018 -18.479686 -18.446354 -18.417911 -18.404591 -18.394675 -18.387439 -18.392287 -18.398970 -18.406992 -18.416116 -18.433515 -18.451569 -18.470115 -18.493936 -18.518096 -18.542503 -18.571524 -18.600775 -18.630156 -18.659653 -18.692072 -18.724555 -18.757076 -18.790614 -18.824158 -18.857696 -18.890675 -18.923583 -18.956416 -18.989129 -19.017789 -19.046093 -19.074035
 6  2 -23.778735 -22.818486 -21.822377 -21.007736 -20.351785 -19.822246 -19.393830 -19.047780 -18.769044 -18.547021 -18.372211 -18.234793 -18.128509 -18.047164 -17.984310 -17.936915 -17.901705 -17.876101 -17.858201 -17.846437 -17.839606 -17.838323 -17.840473 -17.845464 -17.855394 -17.867477 -17.881356 -17.896778 -17.916144 -17.936687 -17.958234 -17.982534 -18.007620 -18.033381 -18.061480 -18.090141 -18.119276 -18.148834 -18.179902 -18.211309 -18.243015 -18.275114 -18.307449 -18.339988 -18.371167 -18.402436 -18.433785 -18.465143 -18.491509 -18.517617 -18.543442
 6  3 -22.893672 -22.216647 -21.282462 -20.501912 -19.885065 -19.401383 -19.023360 -18.728484 -18.498509 -18.318822 -18.177997 -18.067250 -17.979788 -17.910472 -17.855613 -17.812781 -17.780367 -17.757102 -17.741919 -17.733693 -17.731451 -17.734606 -17.742047 -17.753092 -17.767756 -17.785030 -17.804524 -17.825927 -17.849591 -17.874700 -17.901066 -17.929003 -17.957928 -17.987725 -18.018739 -18.050472 -18.082842 -18.115788 -18.149554 -18.183805 -18.218494 -18.253617 -18.289112 -18.324947 -18.360665 -18.396648 -18.432874 -18.469304 -18.504473 -18.539703 -18.574951
